run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
export_1.2,2043,8542.41,3775.66,19.4752,5.39652,-1896.21,0.0,5.41052,0.0,0.992998,98652.6,0.139049,80.9403,0.209895,385.622,304.682,0.209895
export_1.2,2044,8779.88,3860.23,18.9905,5.2622,-1951.25,0.0,5.27519,0.0,0.994539,101552.0,0.139048,83.3199,0.203505,409.425,326.105,0.203505
export_1.2,2045,9025.7,3946.67,18.488,5.12297,-2007.59,0.0,5.135,0.0,0.995742,104522.0,0.139048,85.7568,0.196324,436.813,351.056,0.196324
export_1.2,2046,9279.92,4035.35,18.0235,4.99426,-2064.69,0.0,5.00534,0.0,0.99668,107567.0,0.139048,88.2558,0.18606,474.341,386.085,0.18606
export_1.2,2047,9542.64,4126.24,17.5851,4.87278,-2122.71,0.0,4.88309,0.0,0.997413,110694.0,0.139048,90.821,0.1469,618.253,527.432,0.1469
export_1.2,2048,9813.96,4219.45,17.2006,4.76624,-2181.31,0.0,4.77587,0.0,0.997984,113906.0,0.139048,93.4566,0.135453,689.955,596.498,0.135453
export_1.2,2049,10094.0,4315.13,16.8161,4.6597,-2241.32,0.0,4.66864,0.0,0.998429,117209.0,0.139047,96.1668,0.135857,707.854,611.688,0.135857
export_1.2,2050,10382.9,4413.15,16.4581,4.5605,-2302.31,0.0,4.56878,0.0,0.998776,120606.0,0.139047,98.9543,0.136904,722.799,623.845,0.136904
selfcons_minus,2023,5313.52,2466.49,46.8561,12.9837,-665.238,0.0,13.0276,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
selfcons_minus,2024,5363.22,2540.0,43.1727,11.963,-753.64,0.0,12.0156,0.0,0.550972,34366.5,0.139056,28.1934,0.265259,106.286,78.0929,0.265259
selfcons_minus,2025,5433.17,2611.02,40.8912,11.3308,-822.462,0.0,11.3765,0.0,0.611732,38654.0,0.139055,31.7109,0.273215,116.066,84.3548,0.273215
selfcons_minus,2026,5540.59,2672.96,38.6392,10.7068,-884.663,0.0,10.7745,0.0,0.669207,43121.7,0.139055,35.3762,0.279164,126.722,91.3459,0.279164
selfcons_minus,2027,5666.81,2726.18,36.5825,10.1369,-940.857,0.0,10.2014,0.0,0.722039,47586.0,0.139055,39.0388,0.282479,138.201,99.1622,0.282479
selfcons_minus,2028,5808.87,2772.92,34.692,9.61305,-991.351,0.0,9.67459,0.0,0.769342,51974.6,0.139055,42.6393,0.283647,150.325,107.686,0.283647
selfcons_minus,2029,5966.46,2818.64,32.9611,9.13341,-1039.22,0.0,9.1905,0.0,0.810705,56254.8,0.139054,46.151,0.282992,163.082,116.931,0.282992
selfcons_minus,2030,6139.39,2864.39,31.3755,8.69405,-1085.12,0.0,8.74684,0.0,0.846134,60415.0,0.139054,49.5642,0.280808,176.505,126.941,0.280808
selfcons_minus,2031,6278.37,2910.51,29.9492,8.29882,-1129.16,0.0,8.34513,0.0,0.875947,63959.4,0.139054,52.4723,0.277204,189.291,136.819,0.277204
selfcons_minus,2032,6428.74,2972.66,28.6469,7.93797,-1179.9,0.0,7.97959,0.0,0.900662,67339.1,0.139053,55.2453,0.272773,202.532,147.287,0.272773
selfcons_minus,2033,6590.22,3036.87,27.4735,7.61283,-1229.95,0.0,7.65017,0.0,0.920897,70581.4,0.139053,57.9057,0.267787,216.238,158.332,0.267787
selfcons_minus,2034,6762.56,3102.89,26.4,7.31537,-1279.59,0.0,7.34882,0.0,0.937297,73717.1,0.139052,60.4785,0.26245,230.438,169.96,0.26245
selfcons_minus,2035,6945.54,3170.46,25.4161,7.04272,-1328.82,0.0,7.07257,0.0,0.95048,76776.7,0.139052,62.989,0.256897,245.192,182.203,0.256897
selfcons_minus,2036,7115.09,3239.62,24.5162,6.79336,-1377.73,0.0,6.81997,0.0,0.961007,79521.9,0.139052,65.2417,0.251197,259.724,194.482,0.251197
selfcons_minus,2037,7293.48,3310.73,23.6935,6.5654,-1426.6,0.0,6.58935,0.0,0.969368,82224.9,0.139051,67.4597,0.24567,274.595,207.135,0.24567
selfcons_minus,2038,7480.55,3383.65,22.9433,6.35751,-1475.42,0.0,6.37911,0.0,0.975981,84909.2,0.139051,69.6624,0.239784,290.522,220.859,0.239784
